№ п/п;Товар;Обозначение;Модификация;Кол-во;На заказы;Поставщик
6584;Уголок нижний;НГКШ.745512.1979;<>;3; ;ПМК ООО
6585;Уголок нижний;НГКШ.745512.1980;<>;3; ;ПМК ООО
6586;Уголок нижний;НГКШ.745512.1776;<>;4; ;ХРОМОС Инжиниринг
6587;Уголок ограждения (750мм);ШМ-02 19;<>;9; ;ПМК ООО
6588;Уголок ограждения 1000мм;ШМ-22 19;<>;3; ;ПМК ООО
6589;Уголок ОПН;ТШАГ.745222.277;<>;30; ;Крабер ООО
6590;Уголок ОПН;НГКШ.745512.2195;<>;2; ;ПМК ООО
6591;Уголок ОПН;ТШАГ.745222.277;<>;350; ;ХРОМОС Инжиниринг
6592;Уголок ОПН 4 мм;НГКШ.745212.2353;<>;1; ;Крабер ООО
6593;Уголок оси блокировки;ОЛТ-01 30;<>;282; ;ПМК ООО
6594;Уголок открытия шторок;НГКШ.745212.522;<>;9; ;Крабер ООО
6595;Уголок открытия шторок;НГКШ.745212.522-01;<>;9; ;Крабер ООО
6596;Уголок под БУ;НГКШ.745512.1792;<>;4; ;Крабер ООО
6597;Уголок поддержки блокиратора;НГКШ.745512.810-Л;<>;4; ;ХРОМОС Инжиниринг
6598;Уголок подключения ОПН;НГКШ.745418.204;<>;96; ;Крабер ООО
6599;Уголок поднятия шторок;НГКШ.745212.974;<>;3; ;Крабер ООО
6600;Уголок поднятия шторок;НГКШ.745212.2294;<>;3; ;Крабер ООО
6601;Уголок поднятия шторок;НГКШ.745212.974-01;<>;3; ;Крабер ООО
6602;Уголок поднятия шторок;НГКШ.745212.2294-01;<>;3; ;Крабер ООО
6603;Уголок подхвата фиксатора;НГКШ.745212.982;<>;6; ;Крабер ООО
6604;Уголок полки;НГКШ.745532.225;<>;300; ;Крабер ООО
6605;Уголок правый (крепление к поддону);НГКШ.745512.1753-01;<>;230; ;ПМК ООО
6606;Уголок распределения разъема;НГКШ.745512.2022-л;<>;3; ;ХРОМОС Инжиниринг
6607;Уголок РЕ;НГКШ.745512.1767;<>;18; ;Крабер ООО
6608;Уголок ригеля;НГКШ.745512.1482-03;<>;63; ;Крабер ООО
6609;Уголок ригеля;НГКШ.745512.1482-02;<>;243; ;Крабер ООО
6610;Уголок ригеля;НГКШ.745512.1482-Л;<>;3; ;ХРОМОС Инжиниринг
6611;Уголок СБ;К101.1-03.00.002;<>;15; ;МЕТАЛЛООБРАБОТКА ИК
6612;Уголок СБ;К101.1-03.00.001;<>;15; ;МЕТАЛЛООБРАБОТКА ИК
6613;Уголок СБ;К101.1-03.00.001;<>;59; ;Электротехника (МЕХ.ЦЕХ)
6614;Уголок СБ;К101.1-03.00.002;<>;59; ;Электротехника (МЕХ.ЦЕХ)
6615;Уголок сегрегации 2 мм.;НГКШ.745212.2304;<>;3; ;Крабер ООО
6616;Уголок ТН;НГКШ.745512.1994-л;<>;3; ;ХРОМОС Инжиниринг
6617;Уголок удержания рубашки троса;НГКШ.745212.860;<>;24; ;Крабер ООО
6618;Уголок узла заземления;НГКШ.745212.417-02;<>;110; ;Крабер ООО
6619;Уголок установки изоляторов;НГКШ.745212.885;<>;6; ;Крабер ООО
6620;Уголок фиксатора 3 мм;НГКШ.745212.1479;<>;2; ;Крабер ООО
6621;Уголок фиксации (Ц9хр);НГКШ.745212.2290;<>;7; ;Крабер ООО
6622;Уголок фиксации кронштейна отключения ВВ;НГКШ.745261.030;<>;26; ;Крабер ООО
6623;Уголок фиксации кронштейна отключения ВВ;НГКШ.745261.030;<>;9; ;ЛАЗЕР-НН
6624;Уголок экрана;НГКШ.745512.1987-л;<>;4; ;ХРОМОС Инжиниринг
6625;Уголок ЭМБ;НГКШ.745512.1599;<>;2; ;ПМК ООО
6626;Уголок-упор;НГКШ.745212.1768-38;<>;2; ;Крабер ООО
6627;Уголок-упор;НГКШ.745212.1768-01;<>;3; ;Крабер ООО
6628;Уголок-упор;НГКШ.745212.1768-10;<>;1; ;Крабер ООО
6629;Уголок-упор;НГКШ.745212.1518;<>;4; ;Крабер ООО
6630;Уголок-упор;НГКШ.745212.1518-02;<>;1; ;Крабер ООО
6631;Уголок-упор;НГКШ.745212.1464;<>;15; ;Крабер ООО
6632;Уголок-упор;НГКШ.745212.1518-01;<>;6; ;Крабер ООО
6633;Уголок-упор;НГКШ.745212.1768-35;<>;1; ;Крабер ООО
6634;Уголок-упор;НГКШ.745212.123-02;<>;4; ;Крабер ООО
6635;Уголок-упор;НГКШ.745212.2284;<>;6; ;Крабер ООО
6636;Уголок-упор;НГКШ.745212.1768-31;<>;1; ;Крабер ООО
6637;Уголок-упор;НГКШ.745212.1334-01;<>;1; ;Крабер ООО
6638;Уголок-упор;НГКШ.745212.2298;<>;2; ;Крабер ООО
6639;Уголок-упор;НГКШ.745212.1768-17;<>;5; ;Крабер ООО
6640;Уголок-упор;НГКШ.745212.2293;<>;3; ;Крабер ООО
6641;Уголок-упор;НГКШ.745212.2357;<>;1; ;Крабер ООО
6642;Уголок-упор;НГКШ.745212.2367;<>;5; ;Крабер ООО
6643;Уголок-упор;НГКШ.745212.466;<>;14; ;Крабер ООО
6644;Уголок-упор;НГКШ.745212.1870;<>;2; ;Крабер ООО
6645;Уголок-упор;НГКШ.745212.1167;<>;2; ;Крабер ООО
6646;Уголок-упор;НГКШ.745212.2429-07;<>;9; ;Крабер ООО
6647;Уголок-упор;НГКШ.745212.1768-19;<>;2; ;Крабер ООО
6648;Уголок-упор;НГКШ.745212.1980;<>;1; ;Крабер ООО
6649;Уголок-упор;НГКШ.745212.1241-02;<>;12; ;Крабер ООО
6650;Уголок-упор;НГКШ.745212.1768-34;<>;2; ;ЛАЗЕР-НН
6651;Уголок-упор;НГКШ.745212.1518;<>;6; ;ЛАЗЕР-НН
6652;Уголок-упор;НГКШ.745212.1209;<>;25; ;ЛАЗЕР-НН
6653;Уголок-упор;НГКШ.745212.1518-02;<>;1; ;ЛАЗЕР-НН
6654;Уголок-упор;НГКШ.745212.1518-01;<>;72; ;ЛАЗЕР-НН
6655;Уголок-упор (Ц9хр);НГКШ.745212.1402-03;<>;7; ;Крабер ООО
6656;Уголок-упор (Ц9хр);НГКШ.745212.1768-09;<>;1; ;Крабер ООО
6657;Уголок-упор 4 мм;НГКШ.745212.1768-20;<>;6; ;Крабер ООО
6658;Уголок-упор 4 мм;НГКШ.745212.1768-33;<>;4; ;Крабер ООО
6659;Уголок-упор 4 мм;НГКШ.745212.650;<>;2; ;Крабер ООО
6660;Уголок-упор 4 мм (Ц9хр);НГКШ.745212.1768;<>;6; ;Крабер ООО
6661;Уголок-упор 4 мм.;НГКШ.745212.1768-32;<>;2; ;Крабер ООО
6662;Уголок-упор 4 мм.;НГКШ.745212.1180;<>;3; ;Крабер ООО
6663;Уголок-упор 4 мм.;НГКШ.745212.1768-36;<>;1; ;Крабер ООО
6664;Уголок-упор 4 мм.;НГКШ.745212.1224;<>;10; ;Крабер ООО
6665;Уголок-упор 4 мм.;НГКШ.745212.1768-39;<>;2; ;Крабер ООО
6666;Уголок-упор 4 мм.;НГКШ.745212.1768-39-01;<>;2; ;Крабер ООО
6667;Уголок-упор 4 мм.;НГКШ.745212.1224-02;<>;2; ;Крабер ООО
6668;Уголок-упор 4 мм.;НГКШ.745212.123-03;<>;7; ;Крабер ООО
6669;Уголо-упор 4 мм.;НГКШ.745212.1172-02;<>;1; ;Крабер ООО
6670;Угольник;ТШАГ.745512.081;<>;5; ;Крабер ООО
6671;Угольник;ИТЕА.745212.576-01;<>;9; ;Крабер ООО
6672;Угольник;ТШАГ.745512.043;<>;5; ;Крабер ООО
6673;Угольник;ТШАГ.745512.081;<>;76; ;ХРОМОС Инжиниринг
6674;Угольник;НГКШ.745512.2145;<>;8; ;ХРОМОС Инжиниринг
6675;Угольник;ТШАГ.745512.070-Л;<>;10; ;ХРОМОС Инжиниринг
6676;Угольник;ТШАГ.745512.043;<>;29; ;ХРОМОС Инжиниринг
6677;Удлинитель вала ГН ВН;НГКШ.301341.710;<>;2; ;ПМК ООО
6678;Удлинитель вала ЗН ВН;НГКШ.301341.710-01;<>;2; ;ПМК ООО
6679;Узел вката;НГКШ.305424.092;<>;3; ;ТЕХКОМ НН
6680;Узел для цифровой шины НЕРВ; ;<>;10; ;Микропроцессорные технологии
6681;Узел ЖО (свободного перемещения);MPB(D)1-70127;<>;6; ;ИПРИМ-ЭНЕРГИЯ
6682;Указатель;ТШАГ.305441.024;<>;43; ;Крабер ООО
6683;Указатель;ТШАГ.754342.007;<>;43; ;ТЕХКОМ НН
6684;Указатель блокировки;ТШАГ.305441.017;<>;3; ;Крабер ООО
6685;Указатель блокировки;ТШАГ.305441.016;<>;297; ;Крабер ООО
6686;Указатель ВВ;ТШАГ.305441.015;<>;246; ;Крабер ООО
6687;Указатель ВВ;НГКШ.301341.1656;<>;2; ;Крабер ООО
6688;Указатель ВВ;НГКШ.301341.1656;<>;3; ;ТЕХКОМ НН
6689;Указатель высокого напряжения;УВН 80-2М/1 2-10кВ;<>;3; ;Толедо СК
6690;Указатель высокого напряжения;УВН 80-2М/1 2-10кВ;<>;4; ;ЭЛЛЕВИН ООО
6691;Указатель напряжения;УВНФ-10 кВ;<>;4; ;ЭЛЛЕВИН ООО
6692;Указатель напряжения;35 кВ;<>;4; ;ЭЛЛЕВИН ООО
6693;Указатель напряжения (переменного тока);EVI-R;<>;9; ;Возврат с производства
6694;Указатель напряжения (переменного тока);EVI-R;<>;2; ;ДМС-Электро
6695;Указатель напряжения (пост. опер ток);EVI-R;<>;23; ;ДМС-Электро
6696;Указатель низкого направления ПИН (50-1000В); ;<>;4; ;ЭЛЛЕВИН ООО
6697;Указатель разъединителя;ТШАГ.305441.014;<>;654; ;Крабер ООО
6698;Указатель разъединителя;ТШАГ.305441.000;<>;1; ;Крабер ООО
6699;Уплотнитель Контактор IP40 для двери Арт. 7007109; ;<>;2; ;Толедо СК
6700;Уплотнитель пазовый;340.09.502;<>;300; ;Электра Екатеринбург
6701;Уплотнитель пазовый двойной;340.09.105;<>;300; ;Электра Екатеринбург
6702;Уплотнитель самоклеящийся (резина) прямоугольник;1200-3-15;1300-5-15 полукруг, материал полиуретан.;100; ;Электра Екатеринбург
6703;Упор;К101.1-13.00.000;<>;1; ;Крабер ООО
6704;Упор;НГКШ.745212.2397-01;<>;3; ;Крабер ООО
6705;Упор;НГКШ.745212.2397;<>;3; ;Крабер ООО
6706;Упор;К101.1-01.01.008;<>;2; ;Крабер ООО
6707;Упор;К101.1-01.01.008-01;<>;2; ;Крабер ООО
6708;Упор;К101.1-50.00.001-01;<>;17; ;Крабер ООО
6709;Упор;К101.1-50.00.001;<>;17; ;Крабер ООО
6710;Упор;НГКШ.745212.233;<>;7; ;Крабер ООО
6711;Упор;НГКШ.745212.1546;<>;7; ;Крабер ООО
6712;Упор;ТШАГ.745231.007;<>;5; ;Крабер ООО
6713;Упор;НГКШ.301341.1662;<>;5; ;Крабер ООО
6714;Упор;НГКШ.745532.157;<>;3; ;Крабер ООО
6715;Упор;НГКШ.745212.2234;<>;1; ;Крабер ООО
6716;Упор;ТШАГ.745231.000;<>;50; ;Крабер ООО
6717;Упор;К101.1-01.01.008;<>;14; ;ЛАЗЕР-НН
6718;Упор;К101.1-01.01.008-01;<>;14; ;ЛАЗЕР-НН
6719;Упор;К101.1-12.00.001;<>;13; ;МЕТАЛЛООБРАБОТКА ИК
6720;Упор;К101.1-50.00.001;<>;12; ;МЕТАЛЛООБРАБОТКА ИК
6721;Упор;К101.1-50.00.001-01;<>;12; ;МЕТАЛЛООБРАБОТКА ИК
6722;Упор;К111.26-01.01.008;<>;1; ;МЕТАЛЛООБРАБОТКА ИК
6723;Упор;К111.26-01.01.008-01;<>;1; ;МЕТАЛЛООБРАБОТКА ИК
6724;Упор;К261.1-12.00.001;<>;1; ;МЕТАЛЛООБРАБОТКА ИК
6725;Упор;К117.28-41.01.004;<>;2; ;МЕТАЛЛООБРАБОТКА ИК
6726;Упор;К111.26-23.00.001;<>;1; ;МЕТАЛЛООБРАБОТКА ИК
6727;Упор;ИТЕА.713231.512;<>;100; ;ТЕХКОМ НН
6728;Упор;ИТЕА.713231.513;<>;100; ;ТЕХКОМ НН
6729;Упор;НГКШ.715312.626;<>;2; ;ТЕХКОМ НН
6730;Упор;НГКШ.715312.515;<>;6; ;ТЕХКОМ НН
6731;Упор;К101.1-16.00.000;<>;14; ;ТЕХКОМ НН
6732;Упор;К117.28-41.05.000;<>;1; ;ТЕХКОМ НН
6733;Упор;НГКШ.741121.300;<>;3; ;ТЕХКОМ НН
6734;Упор;ТШАГ.715114.004;<>;528; ;ТЕХКОМ НН
6735;Упор;НГКШ.715312.514;<>;3; ;ТЕХКОМ НН
6736;Упор;НГКШ.715312.197;<>;7; ;ТЕХКОМ НН
6737;Упор;НГКШ.715312.635;<>;16; ;ТЕХКОМ НН
6738;Упор;ТШАГ.745423.023;<>;34; ;ХРОМОС Инжиниринг
6739;Упор;ТШАГ.745423.023-Л;<>;498; ;ХРОМОС Инжиниринг
6740;Упор;НГКШ.745418.039-Л;<>;6; ;ХРОМОС Инжиниринг
6741;Упор;НГКШ.745532.156;<>;3; ;ХРОМОС Инжиниринг
6742;Упор;ТШАГ.745231.007;<>;38; ;ХРОМОС Инжиниринг
6743;Упор;НГКШ.745418.039-01-Л;<>;6; ;ХРОМОС Инжиниринг
6744;Упор;ТШАГ.745231.000;<>;549; ;ХРОМОС Инжиниринг
6745;Упор;К117.28-41.01.004;<>;3; ;Электротехника (МЕХ.ЦЕХ)
6746;Упор;К101.1-16.00.000;<>;42; ;Электротехника (МЕХ.ЦЕХ)
6747;Упор;К101.1-13.00.000;<>;58; ;Электротехника (МЕХ.ЦЕХ)
6748;Упор;К101.1-50.05.000-01;<>;10; ;Электротехника (МЕХ.ЦЕХ)
6749;Упор;ИТЕА.713231.511;<>;26; ;Электротехника (МЕХ.ЦЕХ)
6750;Упор;К101.1-01.12.000;<>;58; ;Электротехника (МЕХ.ЦЕХ)
6751;Упор;К111.26-23.00.000;<>;1; ;Электротехника (МЕХ.ЦЕХ)
6752;Упор;ИТЕА.713231.512;<>;2; ;Электротехника (МЕХ.ЦЕХ)
6753;Упор;К111.26-01.01.008;<>;1; ;Электротехника (МЕХ.ЦЕХ)
6754;Упор;К117.28-41.05.000;<>;1; ;Электротехника (МЕХ.ЦЕХ)
6755;Упор;К111.26-01.01.008-01;<>;1; ;Электротехника (МЕХ.ЦЕХ)
6756;Упор;К101.1-50.05.000;<>;10; ;Электротехника (МЕХ.ЦЕХ)
6757;Упор;К101.1-50.00.001-01;<>;12; ;Электротехника (МЕХ.ЦЕХ)
6758;Упор;К101.1-50.00.001;<>;12; ;Электротехника (МЕХ.ЦЕХ)
6759;Упор (Ц9хр);НГКШ.301341.1852;<>;26; ;Крабер ООО
6760;Упор 4 мм;НГКШ.745212.1884;<>;1; ;Крабер ООО
6761;Упор блокировочный;ИТЕА.301532.565;<>;35; ;Крабер ООО
6762;Упор верхних шин;НГКШ.741121.497;<>;12; ;Крабер ООО
6763;Упор верхних шин;НГКШ.741121.575;<>;27; ;Крабер ООО
6764;Упор ВЭ;К261.1-12.00.000;<>;2; ;Крабер ООО
6765;Упор ВЭ;К261.1-12.00.000;<>;1; ;Электротехника (МЕХ.ЦЕХ)
6766;Упор ВЭ;К101.1-12.00.000;<>;57; ;Электротехника (МЕХ.ЦЕХ)
6767;Упор двери;ОЛК-01 30-01;<>;18; ;Крабер ООО
6768;Упор двери;ОЛК-01 30;<>;90; ;Крабер ООО
6769;Упор двери;ТШАГ.745212.326;<>;345; ;Крабер ООО
6770;Упор двери;ОЛК-01 30;<>;82; ;ПМК ООО
6771;Упор двери;НГКШ.745512.315;<>;12; ;ХРОМОС Инжиниринг
6772;Упор двери;НГКШ.745512.315-Л;<>;113; ;ХРОМОС Инжиниринг
6773;Упор для плоской тяги;LKY.2;<>;452; ;Электра Екатеринбург
6774;Упор кнопки;НГКШ.715312.399;<>;1; ;Крабер ООО
6775;Упор кнопки;НГКШ.715312.399;<>;1; ;ТЕХКОМ НН
6776;Упор кнопки ВВ;НГКШ.715312.029;<>;9; ;ТЕХКОМ НН
6777;Упор левый;НГКШ.715312.027;<>;9; ;ТЕХКОМ НН
6778;Упор левый;НГКШ.715312.600;<>;3; ;ТЕХКОМ НН
6779;Упор на DIN-рейку МR35 KD 4;495 059;<>;1000; ;Возврат с производства
6780;Упор на DIN-рейку МR35 KD 4;495 059;<>;10000; ;СТРОЙЭНЕРГО ООО
6781;Упор поднятия шторок;НГКШ.745212.2354-01;<>;3; ;Крабер ООО
6782;Упор поднятия шторок;НГКШ.745212.2354;<>;3; ;Крабер ООО
6783;Упор поднятия шторок (Ц 9хр);НГКШ.745212.993.1;<>;1; ;Крабер ООО
6784;Упор поднятия шторок (Ц 9хр);НГКШ.745212.993-01.1;<>;1; ;Крабер ООО
6785;Упор правый;НГКШ.715312.028;<>;12; ;ТЕХКОМ НН
6786;Упор фиксатора;НГКШ.715312.325;<>;2; ;ТЕХКОМ НН
6787;Упор фиксатора;НГКШ.715312.115-03;<>;1; ;ТЕХКОМ НН
6788;Усилитель;НГКШ.745418.020;<>;30; ;Крабер ООО
6789;Усилитель;НГКШ.745418.020;<>;249; ;ХРОМОС Инжиниринг
6790;Усилитель верхних шин;НГКШ.745212.1319;<>;27; ;Крабер ООО
6791;Усилитель верхних шин;НГКШ.741121.471;<>;72; ;Крабер ООО
6792;Усилитель верхних шин;НГКШ.741121.880;<>;3; ;Крабер ООО
6793;Усилитель верхних шин;НГКШ.741121.512;<>;84; ;Крабер ООО
6794;Усилитель верхних шин;НГКШ.741121.571;<>;18; ;Крабер ООО
6795;Усилитель верхних шин;НГКШ.741121.875;<>;3; ;Крабер ООО
6796;Усилитель верхних шин;НГКШ.741121.496;<>;12; ;Крабер ООО
6797;Усилитель верхних шин;НГКШ.741121.210;<>;42; ;Крабер ООО
6798;Усилитель верхних шин;НГКШ.741121.875;<>;6; ;ЛАЗЕР-НН
6799;Усилитель верхних шин;НГКШ.741121.512;<>;3; ;ПМК ООО
6800;Усилитель верхних шин 4 мм.;НГКШ.741121.776;<>;6; ;Крабер ООО
6801;Усилитель верхних шин 5 мм.;НГКШ.741121.900;<>;6; ;Крабер ООО
6802;Усилитель верхних шин_4 мм;НГКШ.741121.315;<>;39; ;Крабер ООО
6803;Усилитель верхних шин_4 мм;НГКШ.741121.315;<>;75; ;ЛАЗЕР-НН
6804;Усилитель нижних шин;НГКШ.741121.543;<>;12; ;Крабер ООО
6805;Усилитель нижних шин;НГКШ.745212.1320;<>;27; ;Крабер ООО
6806;Усилитель нижних шин;НГКШ.741121.950;<>;3; ;Крабер ООО
6807;Усилитель нижних шин;НГКШ.741121.472;<>;96; ;Крабер ООО
6808;Усилитель нижних шин;НГКШ.741121.512-01;<>;84; ;Крабер ООО
6809;Усилитель нижних шин;НГКШ.741121.472;<>;75; ;ЛАЗЕР-НН
6810;Усилитель нижних шин 4 мм;НГКШ.741121.511;<>;18; ;Крабер ООО
6811;Усилитель нижних шин 4 мм;НГКШ.741121.511;<>;6; ;ЛАЗЕР-НН
6812;Усилитель нижних шин 4 мм.;НГКШ.741121.287;<>;18; ;Крабер ООО
6813;Усилитель нижних шин 4 мм.;НГКШ.741121.809;<>;6; ;Крабер ООО
6814;Усилитель шин;НГКШ.745212.1679;<>;6; ;Крабер ООО
6815;Усилитель шин;НГКШ.745212.1679-01;<>;6; ;Крабер ООО
6816;Усилитель шин;НГКШ.745212.1686;<>;6; ;Крабер ООО
6817;Усилитель шин;НГКШ.741121.531;<>;15; ;Крабер ООО
6818;Усилитель шин;НГКШ.745212.1609;<>;54; ;Крабер ООО
6819;Усилитель шин;НГКШ.741121.582-01;<>;13; ;Крабер ООО
6820;Усилитель шин;НГКШ.745212.2406;<>;78; ;Крабер ООО
6821;Усилитель шин 4 мм.;НГКШ.745212.1609-01;<>;72; ;Крабер ООО
6822;"Устройство дуговой защиты ""ОВОД-МД"" на 16 ВОД"; ;<>;1; ;ПРОЭЛ НПП ООО
6823;"Устройство дуговой защиты ""ОВОД-МД"" на 20 ВОД"; ;<>;1; ;ПРОЭЛ НПП ООО
6824;"Устройство дуговой защиты ""ОВОД-МД"" на 25 ВОД"; ;<>;1; ;ПРОЭЛ НПП ООО
6825;"Устройство дуговой защиты ""ОВОД-МД"" на 26 ВОД"; ;<>;1; ;ПРОЭЛ НПП ООО
6826;"Устройство дуговой защиты ""ОВОД-МД"" на 27 ВОД"; ;<>;1; ;ПРОЭЛ НПП ООО
6827;"Устройство дуговой защиты ""ОВОД-МД"" на 28 ВОД"; ;<>;1; ;ПРОЭЛ НПП ООО
6828;"Устройство дуговой защиты ""ОВОД-МД"" на 30 ВОД"; ;<>;2; ;ПРОЭЛ НПП ООО
6829;"Устройство дуговой защиты ""ОВОД-МД"" на 31 ВОД"; ;<>;1; ;ПРОЭЛ НПП ООО
6830;"Устройство дуговой защиты ""ОВОД-МД"" на 35 ВОД"; ;<>;1; ;ПРОЭЛ НПП ООО
6831;"Устройство дуговой защиты ""ОВОД-МД"" на 36 ВОД"; ;<>;1; ;ПРОЭЛ НПП ООО
6832;"Устройство дуговой защиты ""ОВОД-МД"" на 37 ВОД"; ;"Устройство дуговой защиты ""ОВОД-МД"" на 37 ВОД (исп. А)";1; ;ПРОЭЛ НПП ООО
6833;"Устройство дуговой защиты ""ОВОД-МД"" на 43 ВОД (исп. А)"; ;<>;1; ;ПРОЭЛ НПП ООО
6834;"Устройство дуговой защиты ""ОВОД-МД"" на 46 ВОД (исп. А)"; ;<>;1; ;ПРОЭЛ НПП ООО
6835;"Устройство дуговой защиты ""ОВОД-МД"" на 57 ВОД"; ;<>;2; ;ПРОЭЛ НПП ООО
6836;"Устройство дуговой защиты ""ОВОД-МД"" на 60 ВОД"; ;<>;1; ;ПРОЭЛ НПП ООО
6837;Устройство дуговой защиты на 3 ВОД;ПРОЭЛ-МИНИ;<>;1; ;ПРОЭЛ НПП ООО
6838;Устройство защиты от дуговых замыканий;ПД-02М;<>;2; ;РЗА СИСТЕМЗ
6839;Устройство защиты от перенапряжений;PLT-SEC-T3-230-FM-UT;<>;7; ;АМИТРОН -ЭК
6840;Устройство измерения и контроля параметров сети;МИР КПР-01МА-5(50)-57ИП-2R-8TC24-2ТУ-РП230;<>;1; ;Мир Энерго
6841;Устройство измерения и контроля параметров сети;МИР КПР-01М-5(10)-230-2R2EC-8TC24-2ТУ-ИП230;<>;9; ;Мир Энерго
6842;Устройство измерения и контроля параметров сети;МИР МВ-01-R-8TC24-ИП230;<>;1; ;Мир Энерго
6843;Устройство коммутационное;УК-ВК исп.15;<>;1; ;ИП Малыгин А.Л.
6844;Устройство коммутационное;УК-ВК исп.12;<>;4; ;ИП Малыгин А.Л.
6845;Устройство коммутационное;УК-ВК исп.12;<>;3; ;ТИНКО ТД
6846;Устройство коммутационное;УК-ВК исп.15;<>;1; ;ТИНКО ТД
6847;Устройство коммутационное;УК-ВК исп.12;<>;1; ;Толедо СК
6848;Устройство микропроцессорной защиты;Орион-КИ;<>;18; ;ОВК ЭЛЕКТРО
6849;Устройство микропроцессорной защиты;Сириус-2МЛ-5А-220В-И1;<>;2; ;ОВК ЭЛЕКТРО
6850;Устройство микропроцессорной защиты;Сириус-2-Л-5А-220В-И1;<>;7; ;ОВК ЭЛЕКТРО
6851;Устройство микропроцессорной защиты;Сириус-2-С-БПТ-Р0-И1;<>;1; ;ОВК ЭЛЕКТРО
6852;Устройство микропроцессорной защиты;Сириус-2В-БПТ-РО-И1;<>;4; ;ОВК ЭЛЕКТРО
6853;Устройство микропроцессорной защиты;Сириус-2-Л-К-5А-220В-И1;<>;2; ;РАДИУС АВТОМАТИКА АО
6854;Устройство микропроцессорной защиты;Сириус-ТН-220-И1;<>;1; ;РАДИУС АВТОМАТИКА АО
6855;Устройство микропроцессорной защиты;Сириус-21С-5А-220В-И1;<>;1; ;РАДИУС АВТОМАТИКА АО
6856;Устройство микропроцессорной защиты;Сириус-2В-5А-220В-И1;<>;5; ;РАДИУС АВТОМАТИКА АО
6857;Устройство микропроцессорной защиты;Сириус-21Л-5А-220В-И1;<>;14; ;РАДИУС АВТОМАТИКА АО
6858;Устройство микропроцессорной защиты;Сириус-2С-5А-220В-И5-ТХ;<>;3; ;РАДИУС АВТОМАТИКА АО
6859;Устройство микропроцессорной защиты;Сириус-21Д;<>;5; ;РАДИУС АВТОМАТИКА АО
6860;Устройство микропроцессорной защиты;Сириус-2-ТН-К-220В-И1;<>;2; ;РАДИУС АВТОМАТИКА АО
6861;Устройство микропроцессорной защиты;Сириус-ТН-220В-И5-ТХ;<>;6; ;РАДИУС АВТОМАТИКА АО
6862;Устройство микропроцессорной защиты;Сириус-2В-5А-220В-И5-ТХ;<>;9; ;РАДИУС АВТОМАТИКА АО
6863;Устройство микропроцессорной защиты;Сириус-2МЛ-5А-220В-И5-ТХ;<>;31; ;РАДИУС АВТОМАТИКА АО
6864;Устройство микропроцессорной защиты;Сириус-2-МЛ-БПТ-Р0-И1;<>;1; ;РАДИУС АВТОМАТИКА АО
6865;Устройство микропроцессорной защиты;Сириус-2В-БПТ-РО-И1;<>;1; ;РАДИУС АВТОМАТИКА АО
6866;Устройство микропроцессорной защиты;Сириус-21Л-5А-110В-И1;<>;2; ;РАДИУС АВТОМАТИКА АО
6867;Устройство микропроцессорной защиты;Сириус-2МЛ-5А-220В-И1;<>;1; ;РАДИУС АВТОМАТИКА АО
6868;Устройство микропроцессорной защиты;Сириус-2-Л-БПТ-Р0-И1;<>;6; ;РАДИУС АВТОМАТИКА АО
6869;Устройство микропроцессорной защиты;Орион-РТЗ-З;<>;2; ;РАДИУС АЙТИ - УРАЛ ООО
6870;Устройство микропроцессорной защиты;РС 83-А.2М-35602111121;<>;9; ;РЗА СИСТЕМЗ
6871;Устройство микропроцессорной защиты;РС 83-А.2.0-25-202111111;<>;5; ;РЗА СИСТЕМЗ
6872;Устройство оптоволоконной дуговой защиты;Орион-ДЗ-Н;<>;4; ;РАДИУС АВТОМАТИКА АО
6873;Устройство релейной защиты;ЛЮТИК;<>;7; ;Микропроцессорные технологии
6874;Устройство релейной защиты;ЛЮТИК-Т;<>;3; ;Микропроцессорные технологии
6875;Устройство сбора данных;ЭНКМ-3-220-А3Е1-GT-400;<>;1; ;ТД УЭТ
6876;Устройство сигнализации замыкания;УСЗ-3М;<>;2; ;ЧЭАЗ АО
6877;Устройство сигнализации замыкания;УСЗ-3М;<>;2; ;ЧЭАЗ-КОМПЛЕКТАЦИЯ ООО
6878;Устройство сопряжения оптическое;УСО-2 (USB 1.1/оптопорт);<>;1; ;АЛМАЗ-АМПЕР ООО
6879;Устройство телемеханики (заносим вместе с позицей комплект монтажный);TOPAZ HVD3-RTU5;<>;52; ;ПиЭлСи Технолоджи
6880;Устройство фазировки;EVI-T;<>;1; ;Возврат с производства
6881;Устройство фазировки;EVI-T;<>;4; ;ДМС-Электро
6882;Устройство фазировки;DCF;ВЕАШ.305621.634;1; ;Возврат с производства
6883;Устройство фазировки;DCF;ВЕАШ.305621.634;60; ;Элтехника ПО АО
6884;Устройство центральной сигнализации;Сириус-ЦС;<>;2; ;РАДИУС АВТОМАТИКА АО
6885;Ухо;К101.1-03.01.004;<>;30; ;МЕТАЛЛООБРАБОТКА ИК
6886;Ухо;ТШАГ.715111.016;<>;421; ;ТЕХКОМ НН
6887;Ухо;НГКШ.745512.2146;<>;4; ;ХРОМОС Инжиниринг
6888;Ухо СБ;К101.1-00.00.034;<>;8; ;Крабер ООО
6889;Ухо СБ;К101.1-00.00.034;<>;96; ;МЕТАЛЛООБРАБОТКА ИК
